name,adp_ppr,adp_half
Bijan Robinson,1.5,1.3
Jahmyr Gibbs,1.5,1.7
Ja'Marr Chase,3.0,3.0
Puka Nacua,4.0,4.0
Jaxon Smith-Njigba,5.0,5.3
Christian McCaffrey,6.0,6.0
Jonathan Taylor,7.5,7.0
Amon-Ra St. Brown,7.5,7.7
Justin Jefferson,11.0,9.7
James Cook III,11.0,11.0
CeeDee Lamb,11.0,11.0
Ashton Jeanty,9.5,13.0
De'Von Achane,14.0,14.0
Saquon Barkley,14.5,14.3
Brock Bowers,19.5,17.0
Omarion Hampton,16.0,17.3
Chase Brown,14.5,17.7
Trey McBride,21.0,17.7
Drake London,17.5,18.3
Kenneth Walker III,16.0,18.7
Derrick Henry,21.5,21.7
Josh Allen,27.0,22.0
Nico Collins,23.0,23.0
Jeremiyah Love,23.0,24.3
A.J. Brown,24.0,25.0
George Pickens,23.5,25.3
Chris Olave,28.0,27.3
Malik Nabers,33.0,30.3
Rashee Rice,28.5,31.0
Kyren Williams,32.0,31.0
Breece Hall,29.5,31.3
DeVonta Smith,32.0,33.7
Javonte Williams,34.5,35.3
Travis Etienne Jr.,32.5,35.3
Colston Loveland,41.5,36.7
Josh Jacobs,37.0,37.3
Tee Higgins,36.5,38.7
Zay Flowers,35.5,39.3
Emeka Egbuka,39.5,39.7
Tetairoa McMillan,38.5,40.7
Cam Skattebo,44.0,41.3
Garrett Wilson,37.0,42.7
Lamar Jackson,50.0,42.7
Ladd McConkey,37.0,45.7
Luther Burden III,42.5,47.3
DJ Moore,52.0,47.3
Quinshon Judkins,55.0,48.3
Joe Burrow,57.5,49.7
David Montgomery,49.5,50.7
TreVeyon Henderson,50.5,51.3
Tyler Warren,65.0,51.3
Bucky Irving,52.5,53.0
Davante Adams,49.5,53.3
Terry McLaurin,47.0,54.3
Mike Evans,56.0,54.7
Drake Maye,61.0,55.7
Jameson Williams,52.0,55.7
Jaylen Waddle,49.0,56.0
Jadarian Price,62.5,56.3
D'Andre Swift,51.5,57.0
Jayden Daniels,64.0,58.3
Rome Odunze,56.5,60.3
Bhayshul Tuten,62.0,63.3
Caleb Williams,69.5,65.7
Jalen Hurts,71.5,68.3
Christian Watson,55.0,69.7
Harold Fannin Jr.,88.0,70.0
Brian Thomas Jr.,74.0,70.3
Carnell Tate,61.5,71.3
Dak Prescott,78.0,71.7
Chuba Hubbard,68.0,72.7
Marvin Harrison Jr.,67.0,73.0
Tucker Kraft,86.5,73.0
Rhamondre Stevenson,78.0,76.0
Jordyn Tyson,71.5,77.3
Alec Pierce,76.0,78.3
RJ Harvey,79.5,78.3
Parker Washington,71.0,80.0
Sam LaPorta,95.0,80.0
Kyle Pitts Sr.,95.0,80.3
Trevor Lawrence,80.5,80.7
Jaylen Warren,70.5,80.7
Justin Herbert,76.5,81.7
Tony Pollard,80.0,84.0
Courtland Sutton,78.0,84.7
DK Metcalf,73.0,84.7
Rico Dowdle,89.0,85.3
Jaxson Dart,86.0,86.3
Kyle Monangai,93.0,88.7
Matthew Stafford,92.0,89.7
Michael Wilson,91.0,90.7
Makai Lemon,85.0,91.0
Patrick Mahomes II,93.0,91.0
Chris Godwin Jr.,92.5,91.3
George Kittle,124.0,97.3
Brock Purdy,96.0,97.3
Blake Corum,101.0,98.0
Jayden Reed,95.5,100.0
J.K. Dobbins,107.0,100.3
Jared Goff,102.5,101.7
Bo Nix,104.0,101.7
Travis Kelce,122.0,105.0
Jakobi Meyers,98.0,105.0
Jordan Addison,99.0,105.3
Kenneth Gainwell,91.5,105.7
Michael Pittman Jr.,95.5,107.3
Wan'Dale Robinson,110.0,108.0
Kyler Murray,109.0,109.3
Quentin Johnston,95.5,109.3
Ricky Pearsall,98.0,109.7
Dalton Kincaid,120.5,110.3
Isaiah Likely,128.0,110.7
Jake Ferguson,126.0,111.3
Josh Downs,103.5,111.7
Jordan Mason,122.0,115.0
Tyler Shough,110.0,115.7
Dallas Goedert,131.5,116.0
Jordan Love,110.5,116.0
Baker Mayfield,112.0,116.7
Jonathon Brooks,111.5,117.3
Xavier Worthy,112.0,117.3
Rachaad White,116.0,118.3
Mark Andrews,135.5,118.7
