"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP"
"1",1,"Bijan Robinson",ATL,"RB1","11","Coach Upside rating","Coach Bust rating","2 out of 5 stars","0"
"2",1,"Jahmyr Gibbs",DET,"RB2","6","Coach Upside rating","Coach Bust rating","5 out of 5 stars","0"
"3",1,"Ja'Marr Chase",CIN,"WR1","6","Coach Upside rating","Coach Bust rating","4 out of 5 stars","0"
"4",1,"Puka Nacua",LAR,"WR2","11","Coach Upside rating","Coach Bust rating","1 out of 5 stars","0"
"5",1,"Jaxon Smith-Njigba",SEA,"WR3","11","Coach Upside rating","Coach Bust rating","3 out of 5 stars","0"
"6",2,"Amon-Ra St. Brown",DET,"WR4","6","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+2"
"7",2,"Christian McCaffrey",SF,"RB3","8","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-1"
"8",2,"CeeDee Lamb",DAL,"WR5","14","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+3"
"9",2,"Jonathan Taylor",IND,"RB4","13","Coach Upside rating","Coach Bust rating","4 out of 5 stars","-2"
"10",2,"Justin Jefferson",MIN,"WR6","6","Coach Upside rating","Coach Bust rating","5 out of 5 stars","-1"
"11",2,"James Cook III",BUF,"RB5","7","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-1"
"12",3,"Drake London",ATL,"WR7","11","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+6"
"13",3,"De'Von Achane",MIA,"RB6","6","Coach Upside rating","Coach Bust rating","3 out of 5 stars","0"
"14",3,"Ashton Jeanty",LV,"RB7","13","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-2"
"15",3,"Nico Collins",HOU,"WR8","8","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+8"
"16",3,"Chase Brown",CIN,"RB8","6","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+3"
"17",3,"Brock Bowers",LV,"TE1","13","Coach Upside rating","Coach Bust rating","3 out of 5 stars","0"
"18",3,"Saquon Barkley",PHI,"RB9","10","Coach Upside rating","Coach Bust rating","4 out of 5 stars","-4"
"19",3,"Trey McBride",ARI,"TE2","14","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-4"
"20",3,"Omarion Hampton",LAC,"RB10","7","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-4"
"21",4,"George Pickens",DAL,"WR9","14","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+5"
"22",4,"Chris Olave",NO,"WR10","8","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+5"
"23",4,"A.J. Brown",NE,"WR11","11","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+2"
"24",4,"Kenneth Walker III",KC,"RB11","5","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-4"
"25",4,"Malik Nabers",NYG,"WR12","8","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+3"
"26",4,"Josh Allen",BUF,"QB1","7","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-5"
"",4
"27",4,"Derrick Henry",BAL,"RB12","13","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-5"
"28",4,"Rashee Rice",KC,"WR13","5","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+2"
"29",5,"Jeremiyah Love",ARI,"RB13","14","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-5"
"30",5,"Tetairoa McMillan",CAR,"WR14","5","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+10"
"31",5,"Tee Higgins",CIN,"WR15","6","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+6"
"32",5,"Drake Maye",NE,"QB2","11","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+26"
"33",5,"Lamar Jackson",BAL,"QB3","13","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+9"
"34",5,"DeVonta Smith",PHI,"WR16","10","Coach Upside rating","Coach Bust rating","4 out of 5 stars","0"
"35",5,"Josh Jacobs",GB,"RB14","11","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+1"
"36",5,"Garrett Wilson",NYJ,"WR17","13","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+7"
"37",5,"Kyren Williams",LAR,"RB15","11","Coach Upside rating","Coach Bust rating","5 out of 5 stars","-6"
"38",5,"Colston Loveland",CHI,"TE3","10","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-3"
"39",5,"Breece Hall",NYJ,"RB16","13","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-10"
"40",5,"Zay Flowers",BAL,"WR18","13","Coach Upside rating","Coach Bust rating","4 out of 5 stars","-1"
"41",5,"Javonte Williams",DAL,"RB17","14","Coach Upside rating","Coach Bust rating","4 out of 5 stars","-8"
"42",5,"Ladd McConkey",LAC,"WR19","7","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+3"
"43",5,"Travis Etienne Jr.",NO,"RB18","8","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-11"
"44",5,"Davante Adams",LAR,"WR20","11","Coach Upside rating","Coach Bust rating","1 out of 5 stars","+9"
"45",5,"Terry McLaurin",WAS,"WR21","7","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+9"
"46",6,"Joe Burrow",CIN,"QB4","6","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+2"
"47",6,"Emeka Egbuka",TB,"WR22","10","Coach Upside rating","Coach Bust rating","4 out of 5 stars","-9"
"48",6,"Jaylen Waddle",DEN,"WR23","10","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+11"
"49",6,"Luther Burden III",CHI,"WR24","10","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-2"
