"RK",TIERS,"PLAYER NAME",TEAM,"POS","AGE","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"1",1,"Ja'Marr Chase",CIN,"WR1","26","1","2","1.2","0.4","-"
"2",1,"Jaxon Smith-Njigba",SEA,"WR2","24","1","5","2.8","1.0","-"
"3",1,"Puka Nacua",LAR,"WR3","25","2","7","3.3","1.3","-"
"4",1,"Bijan Robinson",ATL,"RB1","24","2","7","4.0","1.2","-"
"5",1,"Jahmyr Gibbs",DET,"RB2","24","4","9","5.6","1.1","-"
"6",2,"Justin Jefferson",MIN,"WR4","26","4","14","7.5","2.7","-"
"7",2,"CeeDee Lamb",DAL,"WR5","27","4","13","8.1","2.6","-"
"8",2,"Amon-Ra St. Brown",DET,"WR6","26","5","11","8.2","1.6","-"
"9",2,"Malik Nabers",NYG,"WR7","22","4","17","9.0","2.8","-"
"10",2,"Ashton Jeanty",LV,"RB3","22","8","19","10.1","2.3","-"
"11",2,"Jeremiyah Love",ARI,"RB4","21","9","16","12.3","2.3","-"
"12",2,"Drake London",ATL,"WR8","24","8","18","12.8","2.2","-"
"13",2,"De'Von Achane",MIA,"RB5","24","8","19","13.3","3.1","-"
"14",3,"Tetairoa McMillan",CAR,"WR9","23","13","28","17.9","4.4","-"
"15",3,"Omarion Hampton",LAC,"RB6","23","12","42","18.5","7.7","-"
"16",3,"James Cook III",BUF,"RB7","26","12","31","19.8","4.5","-"
"17",3,"Nico Collins",HOU,"WR10","27","13","36","19.9","5.7","-"
"18",3,"Jonathan Taylor",IND,"RB8","27","9","35","20.4","7.7","-"
"19",3,"George Pickens",DAL,"WR11","25","13","30","20.5","4.4","-"
"20",3,"Brock Bowers",LV,"TE1","23","11","32","20.6","6.1","-"
"21",3,"Josh Allen",BUF,"QB1","30","14","36","21.8","5.6","-"
"22",3,"Trey McBride",ARI,"TE2","26","10","44","24.8","9.0","-"
"23",4,"Emeka Egbuka",TB,"WR12","23","17","55","25.6","9.1","-"
"24",4,"Chris Olave",NO,"WR13","25","17","37","26.3","5.4","-"
"25",4,"Drake Maye",NE,"QB2","23","15","51","26.7","8.3","-"
"26",4,"Garrett Wilson",NYJ,"WR14","25","18","40","27.5","5.1","-"
"",4
"27",4,"Carnell Tate",TEN,"WR15","21","20","46","29.5","7.8","-"
"28",4,"Kenneth Walker III",KC,"RB9","25","24","60","32.2","12.0","-"
"29",4,"Ladd McConkey",LAC,"WR16","24","26","56","33.4","7.8","-"
"30",4,"Breece Hall",NYJ,"RB10","25","21","55","34.0","10.2","-"
"31",4,"Jordyn Tyson",NO,"WR17","21","24","58","36.3","8.4","-"
"32",4,"Rashee Rice",KC,"WR18","26","17","76","36.5","16.9","-"
"33",4,"Luther Burden III",CHI,"WR19","22","24","71","37.7","11.1","-"
"34",5,"Jayden Daniels",WAS,"QB3","25","25","79","37.8","11.7","-"
"35",5,"Lamar Jackson",BAL,"QB4","29","24","67","37.9","11.7","-"
"36",5,"Colston Loveland",CHI,"TE3","22","20","51","39.2","8.3","-"
"37",5,"A.J. Brown",NE,"WR20","28","24","67","39.3","11.8","-"
"38",5,"DeVonta Smith",PHI,"WR21","27","30","67","40.2","7.9","-"
"39",5,"Makai Lemon",PHI,"WR22","22","32","76","41.0","9.4","-"
"40",5,"Tee Higgins",CIN,"WR23","27","30","59","41.1","8.5","-"
"41",5,"Chase Brown",CIN,"RB11","26","24","57","41.1","9.3","-"
"42",5,"Zay Flowers",BAL,"WR24","25","26","67","43.2","10.1","-"
"43",5,"Joe Burrow",CIN,"QB5","29","18","69","43.8","10.3","-"
"44",5,"Rome Odunze",CHI,"WR25","24","30","76","45.0","13.8","-"
"45",5,"TreVeyon Henderson",NE,"RB12","23","21","77","45.3","12.8","-"
"46",5,"Tyler Warren",IND,"TE4","24","32","60","45.9","5.7","-"
"47",5,"Jaylen Waddle",DEN,"WR26","27","33","72","49.0","11.3","-"
"48",5,"Caleb Williams",CHI,"QB6","24","28","96","50.5","13.1","-"
"49",5,"Patrick Mahomes II",KC,"QB7","30","22","77","50.8","10.8","-"
"50",5,"Christian McCaffrey",SF,"RB13","30","27","68","51.5","12.2","-"
"51",6,"Jameson Williams",DET,"WR27","25","36","73","52.7","10.6","-"
"52",6,"Saquon Barkley",PHI,"RB14","29","28","69","53.3","10.0","-"
"53",6,"Tucker Kraft",GB,"TE5","25","44","70","53.9","7.3","-"
"54",6,"Marvin Harrison Jr.",ARI,"WR28","23","29","99","54.0","16.6","-"
"55",6,"Harold Fannin Jr.",CLE,"TE6","21","29","78","54.1","9.4","-"
"56",6,"Justin Herbert",LAC,"QB8","28","36","85","55.4","12.6","-"
"57",6,"Jalen Hurts",PHI,"QB9","27","28","87","56.9","13.0","-"
"58",6,"Brian Thomas Jr.",JAC,"WR29","23","37","95","58.1","14.4","-"
"59",6,"Quinshon Judkins",CLE,"RB15","22","37","88","58.4","14.7","-"
"60",6,"Sam LaPorta",DET,"TE7","25","41","74","60.5","8.2","-"
"61",6,"Bucky Irving",TB,"RB16","23","35","87","63.2","13.9","-"
"62",6,"Kyren Williams",LAR,"RB17","25","46","80","63.6","11.3","-"
"63",6,"Travis Etienne Jr.",NO,"RB18","27","51","80","64.0","5.4","-"
"64",6,"Javonte Williams",DAL,"RB19","26","40","86","64.1","13.2","-"
"65",6,"Trevor Lawrence",JAC,"QB10","26","45","95","64.6","14.2","-"
"66",6,"Jaxson Dart",NYG,"QB11","23","46","117","65.5","16.0","-"
"67",6,"KC Concepcion",CLE,"WR30","21","37","102","67.1","16.6","-"
"68",6,"Kyle Pitts Sr.",ATL,"TE8","25","53","92","68.1","10.4","-"
"69",6,"Brock Purdy",SF,"QB12","26","54","115","70.5","13.3","-"
"70",6,"Cam Skattebo",NYG,"RB20","24","52","90","71.0","10.1","-"
"71",6,"Alec Pierce",IND,"WR31","26","47","119","72.5","16.5","-"
"72",6,"Jadarian Price",SEA,"RB21","22","48","115","72.6","14.6","-"
"73",7,"Josh Jacobs",GB,"RB22","28","52","102","74.4","15.4","-"
"74",7,"Bo Nix",DEN,"QB13","26","51","109","75.0","15.8","-"
"75",7,"Kenyon Sadiq",NYJ,"TE9","21","60","117","76.5","14.9","-"
"76",7,"Christian Watson",GB,"WR32","27","39","121","77.3","17.3","-"
"77",7,"Jordan Addison",MIN,"WR33","24","58","106","79.1","11.3","-"
"78",7,"Derrick Henry",BAL,"RB23","32","58","101","82.2","10.2","-"
"79",7,"DJ Moore",BUF,"WR34","29","65","131","82.3","13.4","-"
"80",7,"DK Metcalf",PIT,"WR35","28","63","100","83.1","9.2","-"
"81",7,"Terry McLaurin",WAS,"WR36","30","59","117","83.2","13.5","-"
"82",7,"Omar Cooper Jr.",NYJ,"WR37","22","57","170","87.5","23.3","-"
"83",7,"Michael Wilson",ARI,"WR38","26","57","119","88.6","15.4","-"
"84",7,"Jordan Love",GB,"QB14","27","60","143","88.9","18.8","-"
"85",7,"Bhayshul Tuten",JAC,"RB24","23","56","124","89.4","15.5","-"
"86",7,"Ricky Pearsall",SF,"WR39","25","70","113","89.5","12.2","-"
"87",7,"Eli Stowers",PHI,"TE10","23","62","144","92.0","20.1","-"
"88",7,"D'Andre Swift",CHI,"RB25","27","80","120","92.7","9.4","-"
"89",7,"Dak Prescott",DAL,"QB15","32","56","170","94.5","22.0","-"
"90",7,"Denzel Boston",CLE,"WR40","22","43","151","95.3","25.8","-"
"",7
"91",7,"Wan'Dale Robinson",TEN,"WR41","25","72","116","97.0","12.2","-"
"92",7,"Oronde Gadsden II",LAC,"TE11","22","63","163","98.0","29.0","-"
"93",7,"RJ Harvey",DEN,"RB26","25","70","133","99.0","16.6","-"
"94",7,"Courtland Sutton",DEN,"WR42","30","75","142","99.5","14.4","-"
"95",8,"Davante Adams",LAR,"WR43","33","69","145","100.4","19.9","-"
"96",8,"Jayden Higgins",HOU,"WR44","23","75","213","102.1","25.8","-"
"97",8,"Jake Ferguson",DAL,"TE12","27","74","159","102.8","21.6","-"
"98",8,"Mike Evans",SF,"WR45","32","76","160","103.1","19.8","-"
"99",8,"Parker Washington",JAC,"WR46","24","74","171","103.3","20.5","-"
"100",8,"Xavier Worthy",KC,"WR47","23","71","181","103.9","24.3","-"
"101",8,"Dalton Kincaid",BUF,"TE13","26","74","157","104.0","22.1","-"
"102",8,"Fernando Mendoza",LV,"QB16","22","84","141","104.4","14.2","-"
"103",8,"George Kittle",SF,"TE14","32","68","186","104.8","24.4","-"
"104",8,"Michael Pittman Jr.",PIT,"WR48","28","82","156","104.9","15.6","-"
"105",8,"Isaiah Likely",NYG,"TE15","26","74","146","105.3","23.4","-"
"106",8,"Jakobi Meyers",JAC,"WR49","29","68","162","107.1","21.4","-"
"107",8,"Matthew Golden",GB,"WR50","22","82","134","111.0","14.5","-"
"108",8,"David Montgomery",HOU,"RB27","29","73","223","111.3","29.1","-"
"109",8,"Josh Downs",IND,"WR51","24","82","177","112.1","22.9","-"
"110",8,"Zach Charbonnet",SEA,"RB28","25","79","146","112.9","18.1","-"
"111",8,"Jared Goff",DET,"QB17","31","61","174","114.6","23.8","-"
"112",8,"Baker Mayfield",TB,"QB18","31","84","164","116.5","19.6","-"
"113",8,"Jayden Reed",GB,"WR52","26","99","198","117.9","21.0","-"
"114",8,"Jaylen Warren",PIT,"RB29","27","90","148","118.5","18.3","-"
"115",8,"Kyle Monangai",CHI,"RB30","24","91","162","118.8","17.4","-"
"116",8,"Cam Ward",TEN,"QB19","24","61","163","120.0","21.3","-"
"117",8,"Chris Godwin Jr.",TB,"WR53","30","93","178","121.5","20.9","-"
"118",8,"Quentin Johnston",LAC,"WR54","24","94","169","122.1","18.4","-"
"119",8,"C.J. Stroud",HOU,"QB20","24","91","168","122.9","18.9","-"
"120",8,"Brenton Strange",JAC,"TE16","25","81","161","123.2","21.0","-"
"121",8,"Tyler Shough",NO,"QB21","26","84","175","125.2","19.4","-"
"122",8,"Romeo Doubs",NE,"WR55","26","99","170","125.5","18.5","-"
"123",8,"Khalil Shakir",BUF,"WR56","26","97","192","127.6","21.2","-"
"124",8,"Kyler Murray",MIN,"QB22","28","97","178","129.5","16.0","-"
"125",8,"Travis Hunter",JAC,"WR57","23","78","200","129.7","36.7","-"
"126",8,"Rhamondre Stevenson",NE,"RB31","28","92","162","130.2","17.3","-"
"127",8,"Rico Dowdle",PIT,"RB32","27","98","169","130.2","18.3","-"
"128",8,"Blake Corum",LAR,"RB33","25","98","168","130.3","19.5","-"
"129",8,"Jonah Coleman",DEN,"RB34","22","90","179","132.3","29.4","-"
"130",8,"Antonio Williams",WAS,"WR58","21","68","192","132.4","30.2","-"
"131",9,"Chuba Hubbard",CAR,"RB35","27","99","181","132.6","21.7","-"
"132",9,"Sam Darnold",SEA,"QB23","29","95","162","133.5","16.9","-"
"133",9,"Malik Willis",MIA,"QB24","27","93","206","138.8","22.1","-"
"134",9,"Chris Bell",MIA,"WR59","22","92","193","131.8","25.6","-"
"135",9,"Jalen Coker",CAR,"WR60","24","106","240","144.3","26.9","-"
"136",9,"Tony Pollard",TEN,"RB36","29","113","179","144.6","17.5","-"
"137",9,"Daniel Jones",IND,"QB25","29","102","191","147.1","18.6","-"
"138",9,"Kenneth Gainwell",TB,"RB37","27","112","185","149.6","17.6","-"
"139",9,"Bryce Young",CAR,"QB26","24","100","203","149.8","20.2","-"
"140",9,"Mark Andrews",BAL,"TE17","30","114","231","151.3","27.6","-"
"141",9,"Dallas Goedert",PHI,"TE18","31","114","219","152.5","31.1","-"
"142",9,"Germie Bernard",PIT,"WR61","22","100","194","141.3","25.8","-"
"143",9,"Terrance Ferguson",LAR,"TE19","23","117","214","156.2","27.3","-"
"144",9,"Jonathon Brooks",CAR,"RB38","22","91","253","156.6","42.0","-"
"145",9,"Tyler Allgeier",ARI,"RB39","26","131","197","156.7","19.9","-"
"146",9,"AJ Barner",SEA,"TE20","24","102","207","157.3","29.0","-"
"147",9,"J.K. Dobbins",DEN,"RB40","27","108","220","158.8","20.8","-"
"148",9,"Ted Hurst III",TB,"WR62","21","100","224","159.1","27.7","-"
"149",9,"Jacory Croskey-Merritt",WAS,"RB41","25","123","191","159.8","17.8","-"
"150",9,"Tyrone Tracy Jr.",NYG,"RB42","26","117","202","160.1","24.2","-"
"151",9,"Chig Okonkwo",WAS,"TE21","26","116","188","150.4","23.5","-"
"152",9,"Woody Marks",HOU,"RB43","25","101","209","163.1","25.5","-"
