"Name","Position","Team","Bye Week","Rank","Points","Risk","Upside","ADP","Tier","Outlook","Dynasty","Markers"
"Puka Nacua","WR","LAR","8","1","282.9","3.6","9.6","1.07","1","Puka was dominant in 2025 with a league-leading 107 receiving yards per game and six weeks of 20+ fantasy points, the most among WRs. He was an absolute dominator on 50/50 balls, tracking down 27 contested catches, the most of any WR over the last decade. Aside from off-the-field issues, he is simply unstoppable and off-the-charts in every per-route metric we care about for fantasy. If you wanted to take Puka at the 1.01 in a full PPR league, we totally understand.","Money please! That sound is the giant bag of cash coming Puka’s way after he totaled the second-most receiving yards through a WR’s first three years in the NFL behind only Justin Jefferson. We have him firmly amongst an elite three of WRs we would take at the very beginning of dynasty startups.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Ja'Marr Chase","WR","CIN","10","2","278.4","3.2","9.7","1.06","1","Let us hit you with some hard-hitting analysis. Ja’Marr Chase is good at the game! Even with Joe Burrow missing a huge chunk of the season, the dude still finished as the WR4 with over 15 fantasy points per game. Finishing as the WR1 overall is obviously in play, especially if Burrow can finally stay healthy and have one of those elite TD seasons. He is well worth the pick early in Round 1 of fantasy drafts.","In our opinion, Chase is still viewed as one of those few untouchables in dynasty formats. Despite already being in the league for five years, he is still just 26 years old and at the peak of his prime. We have him locked in as a no-brainer top-five overall asset in dynasty.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Jaxon Smith-Njigba","WR","SEA","8","3","264.8","3.0","9.4","1.08","1","If you grabbed JSN in the third round last year, you likely won your league as Smith-Njigba was incredible all year long, leading the league in receiving with almost 1,800 yards and 10 scores. His efficiency could regress after he averaged a silly 3.74 yards per route run, but he is still an easy click in the first round of fantasy drafts as one of the few guys in the league who can command a 30+% target share.","Seattle just made JSN one of the highest-paid WRs in the league, and we know the talent is immense. He is an easy top-five WR moving forward and well worth a first-round selection in start up drafts.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Amon-Ra St. Brown","WR","DET","8","4","244.0","1.0","9.5","2.02","2","St. Brown is the pinnacle of consistency. He has now finished as a top-8 fantasy WR in four straight seasons, and he has banked the WR3 overall finish in three straight years as Jared Goff’s high-volume WR1. There aren’t many WRs we would want over him in redraft leagues this season, making him a rock-solid pick in Round 1 of drafts.","St. Brown is locked in with the Lions through the 2028 season, and he is still just 26 years old. We expect the fantasy goodness to continue for the next two to three years at a minimum, making him one of the most valuable WRs in all of dynasty.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"CeeDee Lamb","WR","DAL","10","5","240.5","2.6","9.3","2.01","2","Lamb had a good season in 2025, but it didn’t feel great considering you likely had to take him in the first round last year. He missed a few games because of the high ankle sprain, and he only scored three TDs. In the game we play, that is just not going to get it done. However, he is coming off a career high 14.4 yards per reception and has now finished with 1,000+ yards in five straight seasons. If that TD variance swings back in his direction, CeeDee can absolutely finish as a top-5 WR in 2026.","Lamb remains one of the most valuable WRs in all of dynasty, but it is at least worth considering that he is 27 years old. He will remain ultra-productive for the next couple of years, so if you have him, keep taking that top-tier production. Just have it on your radar for the next two years that the trade window might close more quickly than you think. We aren’t saying he will fall off any time soon, but we generally prefer to be a year early in order to maximize returns in the trade market.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Justin Jefferson","WR","MIN","6","6","223.3","4.1","9.5","2.04","3","JJetts disappointed fantasy managers who grabbed him early in drafts last season, but was it really his fault? I mean, I think we all know who to blame here…“Nine” was one of the worst starting QBs in football, and you may forget, but Carson Wentz (yes, that guy) started five games while Max Brosmer attempted to play football in the NFL. Spoiler: It did not go well. Basically, we are completely ignoring Jefferson’s 2025 season. He is still one of the best in the game, and while Kyler is not a top-five QB, he is certainly an upgrade on whatever the heck the Vikings were doing in 2025. He is one of fantasy’s most obvious bounce-back players for 2026 and is well worth a look in Round 1 of drafts.","Jefferson is still one of the most valuable WRs in dynasty formats despite his down 2025 campaign, and we are confidently taking him in the first round of startup drafts.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Drake London","WR","ATL","5","7","217.0","3.8","9.1","2.05","3","Can we get this man a QB? We know London is one of the most talented WRs in the league, yet it feels like there is still so much untapped potential given what has been going on in Atlanta. Even though Tua and Penix have their warts, we are closing our eyes in drafts and betting on talent with Drake, who has been targeted on 30% of his routes over the last two seasons. In case you missed it, the Falcons are trotting out some combination of the three stooges behind London: Jahan Dotson, Zachariah Branch, and Olamide Zacchaeus. Let’s get this guy 10+ targets a game and see what happens!","In dynasty, betting on young, highly drafted, and productive WRs is a winning strategy long term. That is why we will continue to bet on London even if the surrounding environment leaves a lot to be desired. Let’s hope the Falcons can find their long-term franchise QB next offseason because the Drake is here to stay. He signed a massive 4-year extension with the team in early June, making him one of the highest paid WRs in the league.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Nico Collins","WR","HOU","6","8","209.4","4.6","8.9","2.12","4","Even with C.J. Stroud disappointing more often than not from a real-life NFL perspective, Collins continues to post WR1 numbers on a per-game basis. He is just that dude in this offense, and with Tank Dell recovering from a major injury and last year’s rookies, Jayden Higgins and Jaylin Noel, unproven commodities, Collins’ elite target share remains locked in. He is on the short list of players who are capable of finishing as a top-five fantasy WR in 2026.","Nico is now 27 years old, so he has a couple more seasons in his prime. If you are a contender, you are obviously riding this out and taking the production, but if you are a rebuilding team, we do not mind putting him on the trade block and getting a haul. Our philosophy in dynasty is that we would generally prefer to be a year early rather than a year late.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"A.J. Brown","WR","NE","9","9","209.3","6.0","8.0","3.09","4","You heard about it for months and it finally happened... A.J. Brown is now a Patriot.  As for the player himself, last year probably felt frustrating as Philly’s offense sputtered and he finished with career lows in yards per reception (12.9). Even in a “down” year, Brown still finished as fantasy’s WR10 and an efficient 2+ yards per route run for his 7th consecutive season. He remains one of the league's best in man coverage as an absolute bully in one-on-one situations. Perhaps a change of scenery with Drake Maye could unlock Brown for another WR1 finish in 2026.","We have had Brown as a trade-away candidate in the Dynasty Pass. It is not because we think he will have a bad season in 2026, but rather, we would prefer to maximize value after his NFL trade in the dynasty trade market a year early. You can likely still get a young WR plus a first-round rookie pick if you are willing to move off the soon-to-be 29-year-old vet.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Chris Olave","WR","NO","11","10","208.5","5.7","8.8","3.04","4","Olave was buried in ADP a year ago due to concerns about the Saints' QB room and his concussion history. Fantasy drafters who took the plunge on Olave in the middle rounds last season were rewarded in a big way as Olave banked career highs in targets (156), receptions (100), yards (1,163), and TDs (9) en route to a WR6 finish. Shough for the win! After Spencer Rattler was benched, Olave went on a tear, averaging 15.8 points per game with Tyler Shough under center. The target competition will be more difficult with the addition of Jordyn Tyson, but Olave is one of the most talented WRs in the league, and we love Kellen Moore’s up-tempo scheme. We would not be shocked to see Olave post back-to-back WR1 seasons.","Olave should be able to cash in a huge payday from the Saints in the very near future, as he is entering the final year of his rookie deal after New Orleans picked up his fifth-year option. With the Saints trying to build around Tyler Shough on a cheap rookie contract, Olave’s extension should come sooner rather than later, giving him stability as a fringe WR1 in dynasty start-ups.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"George Pickens","WR","DAL","10","11","208.3","5.0","8.9","3.02","4","George! Jason’s My Guy came through in a huge way in his first season in Dallas. His stats are a bit juiced for those games without CeeDee Lamb, but the point remains - Pickens is a super talented WR who plays in a scheme we like with a QB in Dak who can support elite fantasy seasons. The only thing to consider for fantasy is that the ADP for him is higher than it was a season ago, so we are not getting any discounts here like we were a year ago when Pickens was available in the middle rounds.","Pickens’ dynasty outlook hangs in the balance after he signed the franchise tag with the Cowboys. Does he end up getting a huge extension with Dallas, or does he go chase the bag elsewhere in 2027? The upside is obviously there to be a top-12 to top-15 option, but the situation isn’t stable right now, given the contract question marks.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Tetairoa McMillan","WR","CAR","14","12","204.0","4.0","8.2","4.01","4","McMillan delivered on the promise of being a top-10 NFL Draft pick a year ago, finishing with just over 1,000 yards and seven scores. The draft capital, Year 1 production, and efficiency marks suggest McMillan is poised for another step forward in his sophomore campaign. After seeing 25.4% of the target share a year ago as a rookie, T Mac is on our short list of WRs who could push for upwards of a 30% market share. With his talent, that should mean great things for fantasy.","It is all there for McMillan to be one of the more valuable WRs in dynasty leagues moving forward. He broke out as a rookie, has elite draft capital, and has very little target competition on his own team. He is looking like a young building block for the foreseeable future, as we all have him inside our top-12 at the position.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Garrett Wilson","WR","NYJ","9","13","199.2","4.9","8.1","4.05","5","All this dude does is earn targets at an elite level. Since 2023, G Willy’s targets per route run rates are 25%, 25%, and 26%. Simply put, he is one of the best in the game at commanding a high target share. Unfortunately, that hasn't always translated into elite fantasy seasons, but we attribute that to lackluster QB play compared to other NFL WR1s. *Geno Smith has entered the chat.* Sadly, it could be the exact same scenario for Wilson in 2026. The talent is there, and the targets will be there, but the offensive environment could hold him back for fantasy once again. Nevertheless, he is a rock-solid WR2 for your team and gets a boost in full PPR formats.","If we can get this man a real QB, he could break fantasy. Until that problem is solved (maybe in 2027?!), his name will probably hold more value on your dynasty squad than the actual fantasy production. He is entering his age-26 season, and he signed a massive $130 million extension not that long ago, tying him to New York through the 2030 season.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
