name,pos,team,is_rookie,confidence,games,targets,receptions,rec_yards,rec_tds,carries,rush_yards,rush_tds,total_tds,total_yards,pts_ppr,pts_half,ppg_ppr,ppg_half
Bijan Robinson,RB,ATL,0,returning,17.0,71.8,55.3,488,2.2,290.4,1423,7.3,9.6,1911,304,276,17.87,16.24
Jahmyr Gibbs,RB,DET,0,returning,17.0,73.4,57.8,479,2.9,226.8,1175,10.2,13.1,1653,302,273,17.76,16.05
Ja'Marr Chase,WR,CIN,0,returning,16.0,161.6,110.9,1343,8.4,2.6,14,0.0,8.4,1358,297,242,18.57,15.11
Christian McCaffrey,RB,SF,0,returning,16.0,85.6,67.0,600,4.2,233.1,958,7.5,11.7,1558,293,259,18.3,16.2
Puka Nacua,WR,LA,0,returning,16.0,145.9,103.1,1366,6.1,11.6,69,0.7,6.8,1435,287,236,17.95,14.72
Amon-Ra St. Brown,WR,DET,0,returning,17.0,143.3,102.7,1222,9.5,3.0,16,0.1,9.6,1238,284,233,16.7,13.68
Derrick Henry,RB,BAL,0,returning,17.0,22.4,16.6,148,0.6,317.9,1655,11.9,12.5,1803,272,263,15.98,15.49
De'Von Achane,RB,MIA,0,returning,16.0,68.7,54.6,403,2.8,196.1,1064,5.6,8.4,1467,252,225,15.74,14.03
James Cook,RB,BUF,0,returning,17.0,40.5,32.7,274,1.2,259.1,1280,9.0,10.2,1554,249,233,14.67,13.71
Saquon Barkley,RB,PHI,0,returning,16.0,46.7,34.2,253,1.6,291.3,1320,8.0,9.6,1573,249,232,15.57,14.5
Jaxon Smith-Njigba,WR,SEA,0,returning,17.0,127.3,90.0,1161,6.0,4.6,24,0.0,6.0,1185,245,200,14.4,11.75
Jonathan Taylor,RB,IND,0,returning,15.0,38.6,28.9,227,1.0,257.2,1218,10.2,11.2,1445,241,226,16.05,15.08
Kyren Williams,RB,LA,0,returning,16.0,43.7,33.1,230,2.5,246.2,1131,9.0,11.5,1361,238,222,14.89,13.85
CeeDee Lamb,WR,DAL,0,returning,15.0,130.8,85.9,1140,5.5,5.6,28,0.1,5.6,1168,237,194,15.77,12.91
Joe Mixon,RB,HOU,0,returning,16.3,52.8,38.4,302,1.6,232.6,967,8.8,10.4,1270,228,209,13.94,12.77
Josh Jacobs,RB,GB,0,returning,16.0,43.0,33.4,274,0.9,252.4,1012,9.7,10.7,1285,226,209,14.12,13.08
Davante Adams,WR,LA,0,returning,15.0,113.2,64.9,813,13.0,0.6,3,0.0,13.0,817,225,192,14.97,12.81
Nico Collins,WR,HOU,0,returning,16.0,116.1,73.7,1113,5.8,1.6,9,0.1,5.9,1122,221,185,13.83,11.53
Justin Jefferson,WR,MIN,0,returning,16.0,127.2,79.8,1086,5.0,1.7,9,0.0,5.1,1095,220,180,13.73,11.23
Trey McBride,TE,ARI,0,returning,16.0,121.8,90.9,910,6.1,0.5,2,0.0,6.2,912,219,174,13.7,10.86
George Pickens,WR,DAL,0,returning,16.0,113.3,71.9,1104,5.8,1.4,7,0.0,5.8,1111,218,182,13.61,11.36
